adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0000796343-09-000026	RepaymentsOfLinesOfCredit	us-gaap/2008		20090531	2	USD	0.0000	
0001193125-09-109617	OccupancyNet	us-gaap/2008		20090331	1	USD	36000000.0000	
0001193125-09-091929	LiabilitiesAndStockholdersEquity	us-gaap/2008		20090331	0	USD	12857000000.0000	
0000891618-09-000150	IncomeLossFromDiscontinuedOperationsNetOfTax	us-gaap/2008		20090331	1	USD	0.0000	
0000950123-09-008550	EarningsPerShareBasic	us-gaap/2008		20080331	1	USD	0.0300	
0000891618-09-000150	ExplorationCostsRelatedToMiningActivities	0000891618-09-000150		20080331	1	USD	39000000.0000	
0001193125-09-088639	IncomeTaxesReceivable	us-gaap/2008		20090331	0	USD	0.0000	
0000891618-09-000166	MinorityInterestInNetIncomeLossOfConsolidatedEntities	us-gaap/2008		20080331	1	USD	28000000.0000	
0000831259-09-000047	ShareBasedCompensation	us-gaap/2008		20080331	1	USD	47000000.0000	
0001104659-09-031513	VestedRestrictedStockTaxesPaid	0001104659-09-031513		20090331	1	USD	4694000.0000	
0001193125-09-088631	ProceedsFromStockOptionsExercised	us-gaap/2008		20090331	1	USD	1000.0000	
0000831259-09-000047	ChargesForReclamationAndEnvironmentalLiabilitiesIncludingAccretion	0000831259-09-000047		20090331	1	USD	67000000.0000	
0001193125-09-111401	OtherDepreciationAndAmortization	us-gaap/2008		20080331	1	USD	55000.0000	
0000277948-09-000066	NetCashProvidedByUsedInOperatingActivities	us-gaap/2008		20080331	1	USD	734000000.0000	
0000038074-09-000029	DeferredIncomeTaxExpenseBenefit	us-gaap/2008		20070331	4	USD	-84919000.0000	
0000891618-09-000150	PropertyPlantAndEquipmentNet	us-gaap/2008		20081231	0	USD	10132000000.0000	
0001002638-09-000023	CostOfRevenue	us-gaap/2008		20090331	3	USD	186966000.0000	
0000891618-09-000150	AssetsCurrent	us-gaap/2008		20090331	0	USD	3351000000.0000	
0001104659-09-025790	AvailableForSaleSecuritiesCurrent	us-gaap/2008		20081231	0	USD	56093000.0000	
0001193125-09-101639	CommitmentsAndContingencies	us-gaap/2008		20081231	0	USD	0.0000	
